confusing and difficult to understand	令人困惑的；令人不知所措的
to support or improve something or make it stronger	支撐；加固；提高；改善
to take possession of an area of land or a country, usually by force or without permission	（通常指用武力或擅自）吞併；兼併；強佔
a feeling of hate	仇恨，怨恨；敵意
approval or agreement, often given by an official group	批准，認可；贊同
willingness to give money, or money given to poor people by rich people	慷慨捐助，施捨；（給窮人的）善款
to cause someone to suddenly take action, especially by shocking or exciting them in some way	激起；使震驚；使振奮
If you can't abide someone or something, you dislike them very much.	（因為厭惡而）不能忍受，無法容忍
to refuse to accept something or someone as true, good, or reasonable	拒絕，不接受；否認；批駁
to feel despair about something or someone	絕望；失去希望
threats used to force a person to do something	威脅，脅迫
the quality of being full of energy and happiness:	（感情等的）奔放；興高采烈；沸騰
someone who is good at public speaking	演說家（善於公開演說的人）
someone who behaves badly or does not obey rules	惡棍，無賴；歹徒
someone who becomes involved in an activity or a social group without being asked, or enters a place without permission	闖入者
not showing emotions or thoughts and therefore very difficult to understand or get to know	（尤指人或其表情）高深莫測的，難以捉摸的
a soldier who fights for any country or group that pays them	僱傭兵
Draconian laws, government actions, etc. are extremely severe, or go further than what is right or necessary.	（法律、政府行爲等）苛刻的，嚴厲的，嚴酷的
not happening regularly or continuously; stopping and starting repeatedly or with periods in between	間歇的，斷斷續續的
not having a strong taste or character, or having no interest or energy	無味的；無特色的；無生氣的；乏味的
allowed by law	合法的，正當的，法律允許的
a chairperson, esp of the lower house of clergy in a convocation of the Anglican Church	• 議長,代辯者
a person, especially a ruler, who has unlimited power over other people, and often uses it unfairly and cruelly	專橫者，專制者（尤指統治者）
someone who has the position of leader in an organization but who has no real power	有名無實的領導人；傀儡
not thinking about or interested in someone or something	不感興趣的；不關心的，冷淡的
understanding or realizing something	察知的；認識到的
not complete	不完全的，部分的
A phlegmatic person does not usually get emotional or excited about things.	冷靜的，沉著的，鎮定的
showing willingness to end a disagreement, or trying to make someone less angry	願意和解的；調停的，安撫的
arguing and complaining a lot	愛爭吵且抱怨不休的
not showing emotions or thoughts and therefore very difficult to understand or get to know	（尤指人或其表情）高深莫測的，難以捉摸的
having little value or importance	微不足道的，瑣碎的；沒有價值的
causing or likely to cause disagreement	有爭議的；引起爭論的；可能引發爭議的
not thinking about or interested in someone or something	不感興趣的；不關心的，冷淡的
pleasant and attractive	可愛的；迷人的；有魅力的
likely to change suddenly and unexpectedly or suddenly become violent or angry	不穩定的；易變的；易怒的，喜怒無常的
having or showing courage	勇敢的，有膽量的，有勇氣的
having good moral qualities and behaviour	道德高尚的；擁有美德的；品行端正的
morally bad and making you feel ashamed	卑鄙的，可恥的
If a product is guaranteed, the company that made it promises to repair or change it if a fault develops within a particular period of time.	保修；包換
in a dangerous state because of not being safe or not being held in place firmly	危險的；不牢靠的，不穩的
not serious about a serious subject, in an attempt to be funny or to appear clever	（尤指不問場合）好開玩笑的；滑稽的，詼諧的
